2026-04-01 14:23:42 | INFO     | main:main | === Starting Quantitative Intraday Factor Pipeline (V17 Long-Short) ===
2026-04-01 14:23:42 | INFO     | main:main | Phase 1: Loading Data with Warm-up (From 2025-08-01)...
2026-04-01 14:23:42 | INFO     | alpaca_engine:load_and_clean_alpaca_data | 🚀 开始加载并清洗本地 Alpaca 数据，目标频率: 1h
2026-04-01 14:24:02 | INFO     | alpaca_engine:load_and_clean_alpaca_data | 已处理 20/100 只股票...
2026-04-01 14:24:20 | INFO     | alpaca_engine:load_and_clean_alpaca_data | 已处理 40/100 只股票...
2026-04-01 14:24:38 | INFO     | alpaca_engine:load_and_clean_alpaca_data | 已处理 60/100 只股票...
2026-04-01 14:24:56 | INFO     | alpaca_engine:load_and_clean_alpaca_data | 已处理 80/100 只股票...
2026-04-01 14:25:15 | INFO     | alpaca_engine:load_and_clean_alpaca_data | 已处理 100/100 只股票...
2026-04-01 14:25:15 | INFO     | alpaca_engine:load_and_clean_alpaca_data | 🔄 正在将数据拼装为超级宽表...
2026-04-01 14:25:15 | INFO     | alpaca_engine:load_and_clean_alpaca_data | ✅ 数据处理完成！形态: (1155, 100) (行/时间 x 列/股票)
2026-04-01 14:25:15 | INFO     | main:main | Filtered Tech sector only! Remaining highly elastic stocks: 50
2026-04-01 14:25:15 | INFO     | main:main | --- Phase 0: Generating Targeted Factor Pool ---
2026-04-01 14:25:15 | INFO     | features:calc_momentum | Calculating Intraday Momentum (Window=420)...
2026-04-01 14:25:15 | INFO     | features:calc_momentum | Calculating Intraday Momentum (Window=140)...
2026-04-01 14:25:15 | INFO     | features:calc_low_volatility | Calculating Low Volatility (Window=90)...
2026-04-01 14:25:15 | INFO     | features:dynamic_factor_synthesis | ⚡ 启用终极长牛引擎 (Quality-Momentum)...
2026-04-01 14:25:15 | INFO     | features:dynamic_factor_synthesis | ⚡ 动量引擎合成完成，正在重新标准化...
2026-04-01 14:25:15 | INFO     | main:main | ✂️ Slicing data for actual backtest: 2026-01-01 onwards
2026-04-01 14:25:15 | INFO     | main:main | --- Phase 1: Theoretical Analysis (Alphalens) ---
2026-04-01 14:25:15 | INFO     | backtest:prepare_alphalens_data | Formatting factor data for Alphalens...
2026-04-01 14:25:15 | INFO     | backtest:prepare_alphalens_data | Bypassing Alphalens frequency bug with custom forward returns...
2026-04-01 14:25:15 | INFO     | backtest:prepare_alphalens_data | Merging factor and forward returns...
2026-04-01 14:25:16 | INFO     | backtest:prepare_alphalens_data | Alphalens data preparation completed!
2026-04-01 14:25:16 | INFO     | visualization:generate_all_reports | ==================================================
2026-04-01 14:25:16 | INFO     | visualization:generate_all_reports | Starting Explicit Component-Based Visualization Pipeline
2026-04-01 14:25:16 | INFO     | visualization:generate_all_reports | ==================================================
2026-04-01 14:25:16 | INFO     | visualization:generate_all_reports | Rendering Returns Analysis Plots...
2026-04-01 14:25:18 | INFO     | visualization:generate_all_reports | Rendering IC Analysis Plots...
2026-04-01 14:25:22 | INFO     | visualization:generate_all_reports | Rendering Turnover Analysis Plots...
2026-04-01 14:25:22 | INFO     | visualization:generate_all_reports | Extracting pure text statistical summaries...
2026-04-01 14:25:27 | INFO     | visualization:generate_all_reports | ==================================================
2026-04-01 14:25:27 | INFO     | visualization:generate_all_reports | [SUCCESS] All explicit PNGs correctly rendered to /Users/apple/Documents/factor/reports/plots
2026-04-01 14:25:27 | INFO     | visualization:generate_all_reports | ==================================================
2026-04-01 14:25:27 | INFO     | main:main | --- Phase 2: Realistic Trading Backtest ---
2026-04-01 14:25:27 | INFO     | realistic_backtest:run_realistic_backtest | === Starting Realistic Vectorized Backtest (V17: Market Neutral Long-Short) ===
2026-04-01 14:25:27 | INFO     | realistic_backtest:run_realistic_backtest | Applying Cross-Sectional Ranking (Long Top 10%, Short Bottom 10%)...
2026-04-01 14:25:27 | INFO     | realistic_backtest:run_realistic_backtest | Applying Continuous VIX Defense Mechanism...
