Date,CSCO,ISRG,PDD,VRTX,GILD,MCHP,CDNS,CCEP,CHTR,KDP,ZS,MSTR,WBD,ADI,ADBE,CPRT,PEP,ALNY,COST,MDLZ,BKNG,XEL,WDAY,FAST,STX,KHC,ABNB,SBUX,INTU,ODFL,MNST,AMZN,GEHC,INTC,CSGP,DXCM,TXN,VRSK,MELI,FTNT,ADSK,PCAR,WDC,PYPL,MSFT,CTAS,AMAT,EA,AMD,KLAC,NXPI,NVDA,ROP,IDXX,EXC,MRVL,CMCSA,BKR,FANG,MAR,LIN,PANW,MPWR,FER,NFLX,AXON,TSLA,GOOGL,PAYX,META,CRWD,SHOP,ORLY,SNPS,GOOG,AVGO,REGN,AMGN,ADP,INSM,QCOM,DASH,ROST,CSX,TEAM,PLTR,DDOG,HON,TTWO,ARM,AAPL,CEG,TMUS,WMT,CTSH,MU,AEP,ASML,APP,LRCX
2025-12-30 15:20:00,44457.0,2892.0,59150.0,2363.0,43566.0,18996.0,3279.0,3083.0,3169.0,17164.0,2799.0,67392.0,60824.0,7726.0,19072.0,35742.0,23021.0,2993.0,21808.0,37732.0,393.0,11963.0,27948.0,32868.0,31710.0,57978.0,12948.0,78912.0,6562.0,16028.0,13638.0,122492.0,11075.0,535627.0,11026.0,15839.0,19653.0,2667.0,1354.0,38697.0,2194.0,4767.0,30952.0,92576.0,113719.0,3692.0,7787.0,1515.0,210409.0,1947.0,5288.0,1198702.0,2943.0,3908.0,16762.0,63727.0,130660.0,25645.0,6393.0,7790.0,5098.0,22151.0,1820.0,1491.0,157363.0,2031.0,1030136.0,178549.0,11391.0,105586.0,5241.0,28355.0,14675.0,6526.0,85282.0,98038.0,1268.0,6527.0,9946.0,12094.0,12004.0,17309.0,15801.0,11239.0,6202.0,205679.0,8828.0,12383.0,5995.0,34193.0,187568.0,4157.0,13948.0,59231.0,17469.0,269458.0,6051.0,13708.0,18842.0,21082.0
2025-12-30 15:25:00,35046.0,1513.0,53440.0,2811.0,16163.0,17551.0,4701.0,1826.0,2768.0,14482.0,2779.0,60101.0,39153.0,4691.0,14663.0,38863.0,23793.0,1948.0,10801.0,23584.0,681.0,16773.0,19554.0,15428.0,37832.0,62327.0,13053.0,40186.0,5142.0,8936.0,10293.0,116257.0,13163.0,376986.0,4931.0,8699.0,19720.0,15977.0,1635.0,27204.0,3367.0,1277.0,90141.0,83589.0,86362.0,4309.0,7475.0,2042.0,126556.0,594.0,5980.0,957712.0,2911.0,844.0,17504.0,61910.0,126783.0,10919.0,4858.0,6929.0,4106.0,15271.0,876.0,2496.0,134777.0,1649.0,657004.0,88413.0,11548.0,78106.0,4779.0,15959.0,13512.0,2638.0,43257.0,96587.0,1311.0,6250.0,6554.0,6862.0,11802.0,7851.0,10923.0,12801.0,5622.0,155749.0,8113.0,4291.0,5286.0,24589.0,178520.0,3621.0,11059.0,88622.0,20507.0,305973.0,5191.0,5883.0,19185.0,236545.0
2025-12-30 15:30:00,55914.0,3032.0,67716.0,1147.0,12788.0,23631.0,4378.0,2016.0,4063.0,37776.0,2644.0,83891.0,45218.0,6435.0,13771.0,169203.0,15634.0,2738.0,11226.0,25738.0,601.0,10561.0,13660.0,17586.0,14846.0,116908.0,17275.0,45403.0,5697.0,6550.0,10988.0,108961.0,15550.0,601503.0,7755.0,9696.0,16113.0,4929.0,1422.0,22166.0,5079.0,5292.0,75544.0,88130.0,69691.0,4479.0,10437.0,2909.0,83896.0,1270.0,7476.0,971088.0,1606.0,2266.0,24022.0,60511.0,100771.0,17801.0,16715.0,5978.0,22409.0,25484.0,1288.0,5606.0,127962.0,2341.0,683302.0,108592.0,10619.0,80571.0,5978.0,16624.0,20188.0,3462.0,57685.0,112961.0,2516.0,6797.0,19514.0,7014.0,15654.0,25632.0,12967.0,6436.0,6939.0,219605.0,8407.0,6097.0,10579.0,36192.0,140482.0,5822.0,14869.0,45654.0,12446.0,137182.0,6006.0,13352.0,15170.0,42876.0
2025-12-30 15:35:00,53715.0,3364.0,30085.0,3493.0,19032.0,20452.0,4486.0,4732.0,2656.0,18220.0,4104.0,79023.0,23893.0,5980.0,22678.0,59246.0,20327.0,2119.0,13285.0,47491.0,284.0,17860.0,22929.0,15734.0,32176.0,219383.0,23329.0,43075.0,11031.0,8163.0,8898.0,174124.0,5952.0,1268984.0,5516.0,11303.0,15879.0,20302.0,1841.0,20411.0,2215.0,2998.0,20698.0,77341.0,91368.0,5217.0,12532.0,1741.0,107298.0,1940.0,6588.0,940123.0,2670.0,1568.0,32628.0,65542.0,141768.0,13555.0,2981.0,7388.0,15982.0,12593.0,1055.0,2523.0,309193.0,1843.0,587558.0,122116.0,10118.0,73247.0,4787.0,16018.0,18194.0,5207.0,61191.0,118280.0,946.0,4448.0,7580.0,14909.0,19475.0,28651.0,9142.0,26448.0,4883.0,265209.0,11885.0,5408.0,24463.0,28751.0,131667.0,4618.0,8863.0,45498.0,17085.0,283314.0,9537.0,11463.0,27413.0,40354.0
2025-12-30 15:40:00,52028.0,3332.0,32875.0,1926.0,8493.0,14431.0,2899.0,1600.0,5000.0,27987.0,2105.0,81358.0,31001.0,6932.0,13360.0,35942.0,22765.0,6811.0,9864.0,140029.0,137.0,11957.0,8951.0,18245.0,9142.0,63887.0,13017.0,33840.0,6903.0,15692.0,13603.0,123572.0,13857.0,465169.0,31652.0,15867.0,9990.0,6027.0,1162.0,25874.0,1548.0,4314.0,17958.0,88884.0,860291.0,3482.0,14116.0,5502.0,132920.0,3475.0,5762.0,842869.0,2679.0,3184.0,46566.0,56541.0,104124.0,16984.0,8140.0,6150.0,2121.0,12125.0,870.0,4456.0,316563.0,5343.0,535896.0,120222.0,8426.0,71658.0,7458.0,29853.0,19803.0,3270.0,53174.0,106762.0,2655.0,6734.0,14490.0,10280.0,19238.0,73220.0,5240.0,29542.0,6781.0,196094.0,14381.0,8995.0,22907.0,24778.0,182841.0,3945.0,8438.0,68410.0,13507.0,228726.0,7100.0,12919.0,20006.0,36859.0
2025-12-30 15:45:00,51069.0,8066.0,28075.0,3679.0,20285.0,21044.0,5751.0,2717.0,5142.0,18456.0,3076.0,67025.0,18421.0,6434.0,13096.0,44587.0,22123.0,4008.0,10931.0,54051.0,481.0,5546.0,22508.0,23663.0,14096.0,154147.0,11454.0,42049.0,2852.0,6786.0,12612.0,105655.0,25061.0,468980.0,10540.0,12589.0,16433.0,6730.0,3911.0,28828.0,2407.0,5219.0,16231.0,68149.0,0.0,6477.0,11929.0,6356.0,106138.0,2009.0,3316.0,965778.0,1191.0,1570.0,30492.0,56208.0,114291.0,12193.0,9271.0,4136.0,12100.0,18226.0,1450.0,6385.0,180054.0,12160.0,424978.0,91302.0,10119.0,58938.0,4388.0,30902.0,14804.0,3945.0,73985.0,120278.0,2285.0,5883.0,9488.0,25922.0,12298.0,26683.0,11522.0,13812.0,4532.0,217223.0,7597.0,14844.0,8463.0,28351.0,176589.0,6946.0,17909.0,66636.0,14501.0,307131.0,7875.0,13329.0,23570.0,37812.0
2025-12-30 15:50:00,50419.0,8324.0,15564.0,3665.0,13976.0,20400.0,4843.0,13125.0,3990.0,19307.0,4568.0,85234.0,28429.0,4665.0,12116.0,35144.0,18465.0,4392.0,14037.0,33343.0,745.0,10035.0,17292.0,53714.0,26318.0,70499.0,9112.0,25859.0,6332.0,16767.0,11745.0,184428.0,8904.0,445463.0,14751.0,7110.0,12429.0,5137.0,6853.0,18499.0,4773.0,6808.0,26698.0,92668.0,65870.0,4740.0,10682.0,4589.0,183190.0,3563.0,9990.0,1188488.0,1587.0,1317.0,54784.0,63186.0,110457.0,34130.0,11757.0,4487.0,8463.0,24331.0,1794.0,3438.0,168411.0,2708.0,434012.0,133890.0,13659.0,59027.0,6871.0,35329.0,23799.0,5737.0,70694.0,132266.0,1929.0,11479.0,11238.0,14522.0,10834.0,10323.0,10684.0,17443.0,5855.0,258556.0,12707.0,14864.0,14719.0,30894.0,158229.0,9205.0,12363.0,57575.0,13061.0,307610.0,5689.0,9398.0,19276.0,73646.0
2025-12-30 15:55:00,51277.0,4433.0,20333.0,2795.0,15813.0,22275.0,4249.0,8546.0,3083.0,12084.0,6062.0,112909.0,49426.0,7479.0,13779.0,127671.0,27539.0,4251.0,7039.0,23417.0,752.0,17536.0,16972.0,22322.0,25370.0,37945.0,13630.0,35603.0,4863.0,15460.0,17212.0,93896.0,10300.0,460991.0,19829.0,10555.0,12663.0,4681.0,3280.0,21901.0,3728.0,4575.0,18815.0,50714.0,96998.0,5264.0,15069.0,4214.0,182284.0,2585.0,6266.0,987633.0,1417.0,1922.0,44262.0,69415.0,183483.0,13909.0,18930.0,12606.0,12471.0,20210.0,1089.0,8047.0,178359.0,2563.0,638861.0,138996.0,19854.0,89856.0,8977.0,24785.0,34358.0,4923.0,59288.0,95484.0,3069.0,6704.0,15372.0,7689.0,20957.0,31483.0,7149.0,16060.0,6416.0,192821.0,7417.0,11190.0,9380.0,28363.0,151965.0,5895.0,18660.0,40875.0,8904.0,228150.0,14674.0,8219.0,24706.0,25947.0
2025-12-30 16:00:00,56624.0,4129.0,24317.0,3368.0,22076.0,18760.0,4506.0,1749.0,4832.0,18700.0,6357.0,130941.0,64423.0,10022.0,12032.0,53987.0,25663.0,5724.0,11007.0,54924.0,129.0,11025.0,18211.0,23612.0,29908.0,61534.0,13969.0,59933.0,7787.0,10507.0,19704.0,99483.0,14310.0,708012.0,15225.0,9853.0,24143.0,4109.0,4381.0,16065.0,4022.0,7964.0,11735.0,127665.0,93004.0,5288.0,15157.0,7167.0,151670.0,3267.0,7125.0,894102.0,2519.0,2039.0,37178.0,53164.0,95337.0,17845.0,15472.0,8131.0,6735.0,13627.0,3612.0,5832.0,200682.0,2054.0,714056.0,100649.0,8635.0,85213.0,4941.0,35018.0,25154.0,11619.0,72291.0,87208.0,861.0,8315.0,15854.0,6979.0,21194.0,46377.0,12061.0,16957.0,3806.0,260639.0,7177.0,47525.0,11827.0,26547.0,181132.0,15139.0,16975.0,63759.0,10908.0,182749.0,15225.0,9823.0,18350.0,34017.0
2025-12-30 16:05:00,52947.0,2924.0,79916.0,1752.0,19065.0,23936.0,6463.0,4890.0,6225.0,17863.0,4926.0,92957.0,78105.0,5142.0,12528.0,45873.0,20983.0,2942.0,10234.0,97341.0,325.0,41518.0,14558.0,21204.0,18200.0,57573.0,9182.0,23439.0,9052.0,61426.0,10443.0,167948.0,9755.0,936294.0,14585.0,17622.0,13380.0,7848.0,5046.0,12759.0,3378.0,9345.0,18039.0,90820.0,94431.0,5857.0,11468.0,15576.0,191381.0,2778.0,4260.0,1141461.0,3031.0,5687.0,32478.0,77255.0,130533.0,16913.0,13675.0,4463.0,18477.0,15020.0,2016.0,4840.0,166382.0,2865.0,569015.0,104630.0,20364.0,47646.0,5677.0,12952.0,18305.0,7432.0,87070.0,101069.0,3834.0,6876.0,15912.0,8827.0,22321.0,11608.0,12602.0,20224.0,6800.0,151886.0,10895.0,15244.0,10960.0,21224.0,124569.0,11662.0,15898.0,87350.0,12218.0,167726.0,4564.0,8267.0,12738.0,19794.0
